GUAN_002-M-20190930-COMP-DNA1
GUAN_001-M-20190930-COMP-DNA1
GUAN_007-M-20190930-COMP-DNA1
WOOD_003-M-0-30-20140702-GEN-DNA1
WOOD_003-M-20140702-COMP-DNA1
WOOD_003-M-16-7-20140702-GEN-DNA1
WOOD_003-M-23-38-20140702-GEN-DNA1
WOOD_001-M-10-34-20140702-GEN-DNA1
WOOD_001-M-20140702-COMP-DNA1
WOOD_001-M-25-6-20140702-GEN-DNA1
WOOD_001-M-9-4-20140702-GEN-DNA1
WOOD_002-M-15-7-20140702-GEN-DNA1
WOOD_002-M-20140702-COMP-DNA1
WOOD_002-M-4-7-20140702-GEN-DNA1
WOOD_002-M-33-11-20140702-GEN-DNA1
WOOD_021-M-38-37-20140702-GEN-DNA1
WOOD_024-M-5-26-20140728-GEN-DNA1
WOOD_024-M-22-32-20140728-GEN-DNA1
WOOD_024-M-39-1-20140728-GEN-DNA1
WOOD_003-M-37-22-20140728-GEN-DNA1
WOOD_003-M-13-32-20140728-GEN-DNA1
WOOD_003-M-30-27-20140728-GEN-DNA1
WOOD_001-M-3-28-20140728-GEN-DNA1
WOOD_001-M-9-34-20140728-GEN-DNA1
WOOD_001-M-19-1-20140728-GEN-DNA1
WOOD_002-M-28-3-20140728-GEN-DNA1
WOOD_002-M-14-6-20140728-GEN-DNA1
WOOD_002-M-0-13-20140728-GEN-DNA1
MLBS_005-O-20180611-COMP-DNA1
MLBS_005-M-20180611-COMP-DNA1
MLBS_001-M-20180611-COMP-DNA1
MLBS_001-O-20180611-COMP-DNA1
MLBS_003-O-20180612-COMP-DNA1
MLBS_003-M-20180612-COMP-DNA1
MLBS_002-O-20180612-COMP-DNA1
MLBS_002-M-20180612-COMP-DNA1
MLBS_064-O-20180612-COMP-DNA1
MLBS_064-M-20180612-COMP-DNA1
MLBS_061-M-20180612-COMP-DNA1
MLBS_061-O-20180612-COMP-DNA1
MLBS_006-M-20180612-COMP-DNA1
MLBS_006-O-20180612-COMP-DNA1
MLBS_007-M-20180612-COMP-DNA1
MLBS_007-O-20180612-COMP-DNA1
MLBS_067-O-20180612-COMP-DNA1
MLBS_067-M-20180612-COMP-DNA1
MLBS_063-O-20180612-COMP-DNA1
MLBS_063-M-20180612-COMP-DNA1
TREE_046-M-20200706-COMP-DNA1
TREE_002-O-20200706-COMP-DNA1
TREE_002-M-20200706-COMP-DNA1
TREE_004-O-20200708-COMP-DNA1
TREE_041-M-20200708-COMP-DNA1
TREE_001-M-20200708-COMP-DNA1
TREE_014-M-20200708-COMP-DNA1
TREE_006-M-20200708-COMP-DNA1
TREE_050-M-20200708-COMP-DNA1
TREE_003-M-20200708-COMP-DNA1
TREE_049-M-20200708-COMP-DNA1
KONZ_005-M-20190715-COMP-DNA1
KONZ_004-M-20190715-COMP-DNA1
KONZ_024-M-20190715-COMP-DNA1
KONZ_003-M-20190715-COMP-DNA1
KONZ_002-M-20190716-COMP-DNA1
KONZ_042-M-20190716-COMP-DNA1
KONZ_001-M-20190716-COMP-DNA1
KONZ_046-M-20190716-COMP-DNA1
KONZ_043-M-20190717-COMP-DNA1
KONZ_045-M-20190717-COMP-DNA1
TALL_004-M-29-37-20140516-GEN-DNA1
TALL_004-M-9-11-20140516-GEN-DNA1
TALL_004-M-17-9-20140516-GEN-DNA1
TALL_002-M-5-26-20140516-GEN-DNA1
TALL_002-M-12-7-20140516-GEN-DNA1
TALL_002-M-35-24-20140516-GEN-DNA1
TALL_001-M-26-3-20140516-GEN-DNA1
TALL_001-O-26-3-20140516-GEN-DNA1
TALL_001-M-20140516-COMP-DNA1
TALL_001-O-20140516-COMP-DNA1
TALL_001-O-29-2-20140516-GEN-DNA1
TALL_001-M-29-2-20140516-GEN-DNA1
TALL_001-O-17-34-20140516-GEN-DNA1
TALL_001-M-17-34-20140516-GEN-DNA1
TALL_006-M-2-33-20140516-GEN-DNA1
TALL_006-M-15-33-20140516-GEN-DNA1
TALL_006-M-21-39-20140516-GEN-DNA1
CLBJ_034-M-20180409-COMP-DNA1
CLBJ_031-M-20180409-COMP-DNA1
CLBJ_033-M-20180409-COMP-DNA1
CLBJ_001-M-20180410-COMP-DNA1
CLBJ_006-M-20180410-COMP-DNA1
CLBJ_002-M-20180410-COMP-DNA1
CLBJ_040-M-20180411-COMP-DNA1
CLBJ_038-M-20180411-COMP-DNA1
CLBJ_032-M-20180411-COMP-DNA1
CLBJ_003-M-20180411-COMP-DNA1
DSNY_001-M-20170829-COMP-DNA1
DSNY_003-M-20170829-COMP-DNA1
DSNY_041-M-20170829-COMP-DNA1
DSNY_009-M-20170829-COMP-DNA1
DSNY_016-M-20170829-COMP-DNA1
DSNY_004-O-20170829-COMP-DNA1
DSNY_005-M-20170829-COMP-DNA1
DSNY_043-M-20170830-COMP-DNA1
STER_003-M-38-30-20131217-GEN-DNA1
STER_003-M-20131217-COMP-DNA1
STER_003-M-34-0-20131217-GEN-DNA1
STER_003-M-14-37-20131217-GEN-DNA1
STER_006-M-26-39-20131217-GEN-DNA1
STER_006-M-20-7-20131217-GEN-DNA1
